song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
the grudge,89,189386,0.916,0.548,0.307,0.0,10,0.0828,-9.214,1,0.0781,127.923,4,0.317
Seven (feat. Latto) (Explicit Ver.),97,185427,0.311,0.802,0.832,0.0,11,0.0815,-4.107,1,0.0434,124.997,4,0.89
Single Soon,89,171655,0.00863,0.61,0.571,0.0,2,0.131,-5.649,1,0.0782,105.01,4,0.747
Checkmate,71,198034,0.176,0.731,0.622,0.0,5,0.153,-8.237,1,0.0979,82.494,4,0.445
Love For A Thug,72,184059,0.0264,0.655,0.499,1.83e-06,8,0.124,-13.269,0,0.0967,83.493,4,0.268
Good Good,75,247469,0.0378,0.753,0.669,0.0,7,0.122,-4.914,0,0.104,140.948,4,0.584
Save Me,73,240723,0.653,0.677,0.404,0.0,0,0.249,-9.552,1,0.027,83.087,3,0.355
lacy,88,177212,0.803,0.455,0.379,0.0,3,0.109,-7.628,1,0.0341,76.967,4,0.413
Tourniquet,85,189053,0.684,0.593,0.397,7.44e-06,6,0.0982,-8.309,1,0.0329,76.703,4,0.32
2018,72,194064,0.658,0.348,0.45,3.47e-06,1,0.102,-13.126,1,0.451,178.65,4,0.497
making the bed,87,198867,0.346,0.537,0.413,0.0,7,0.12,-7.736,1,0.0319,133.21,4,0.226
logical,87,231907,0.853,0.499,0.246,0.0,7,0.1,-8.082,1,0.0345,81.051,4,0.153
MI EX TENÍA RAZÓN,85,154375,0.0754,0.634,0.725,0.0,0,0.208,-4.88,0,0.0577,159.898,4,0.845
love is embarrassing,87,154517,0.00261,0.52,0.831,0.0,9,0.156,-3.432,1,0.0968,160.035,4,0.677
ballad of a homeschooled girl,87,203369,0.0557,0.385,0.873,0.0,1,0.353,-3.331,1,0.069,120.393,4,0.469
Lose Control,81,210689,0.199,0.561,0.604,1.9e-05,9,0.104,-4.409,1,0.0337,159.92,3,0.242
White Horse,81,267893,0.0016,0.353,0.77,0.598,1,0.109,-11.066,0,0.0493,145.225,4,0.224
LALA,98,197920,0.0739,0.708,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,4,0.607
Spotless (feat. The Lumineers),84,169467,0.409,0.604,0.444,0.0,0,0.0837,-7.695,1,0.0698,72.129,4,0.169
Keep It G,71,240483,0.0876,0.523,0.419,0.0,0,0.155,-12.465,1,0.143,110.633,5,0.194
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),53,215467,0.0652,0.852,0.675,3.74e-05,1,0.36,-6.271,1,0.197,99.012,4,0.83
Pass You By,70,192052,0.5,0.604,0.695,1.79e-05,8,0.112,-7.56,1,0.0355,77.447,4,0.306
SkeeYee,81,154120,0.231,0.739,0.536,0.0,1,0.35,-10.843,1,0.308,82.549,4,0.64
East Side of Sorrow,83,209320,0.236,0.408,0.607,8.02e-05,10,0.0972,-7.463,1,0.0391,144.136,4,0.169
TULUM,91,209415,0.394,0.557,0.866,0.0,6,0.11,-4.454,1,0.0503,167.767,4,0.631
Everything I Love,68,187047,0.00475,0.566,0.845,0.000822,8,0.148,-3.817,1,0.0265,103.97,4,0.698
TELEKINESIS (feat. SZA & Future),90,353755,0.575,0.458,0.535,0.0,5,0.168,-4.854,0,0.0281,82.826,4,0.216
Love Story/Interlude,70,316630,0.18,0.454,0.531,3.17e-06,1,0.105,-9.628,1,0.172,83.119,4,0.107
Back Lit,70,178416,0.00829,0.724,0.624,0.0,1,0.156,-6.242,0,0.0649,145.99,4,0.216
Deli,85,126857,0.123,0.789,0.763,2.22e-05,1,0.132,-6.169,1,0.199,140.107,4,0.272
TRUCK BED,71,167535,0.0875,0.662,0.77,0.0,0,0.35,-4.887,1,0.0367,132.057,4,0.769
pretty isn’t pretty,86,199422,0.00394,0.554,0.854,1.78e-06,2,0.0798,-4.338,1,0.0561,123.926,4,0.594
SABOR FRESA,91,156501,0.0883,0.785,0.863,0.0,7,0.0929,-4.599,0,0.0893,130.132,3,0.962
In Your Love,79,225827,0.844,0.534,0.409,0.000656,7,0.115,-9.559,1,0.0378,127.357,4,0.243
Bury Me in Georgia,68,242307,0.0118,0.376,0.835,3.71e-06,2,0.471,-5.824,0,0.0655,160.069,4,0.511
Another One Of Me (feat. 21 Savage),75,230311,0.252,0.67,0.562,0.0,5,0.242,-7.653,0,0.233,97.919,4,0.18
Strangers,97,172965,0.701,0.628,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
Oh U Went (feat. Drake),81,185333,0.0517,0.808,0.789,0.0,7,0.0819,-5.88,0,0.236,136.01,4,0.465
BIPOLAR,87,265045,0.513,0.776,0.701,0.0,9,0.0902,-5.223,1,0.0254,112.032,3,0.603
Johnny Dang (with Paul Wall & DRODi),79,192000,0.416,0.971,0.671,0.0,10,0.128,-5.26,0,0.154,119.965,4,0.754
EL AMOR DE SU VIDA,78,165848,0.06,0.616,0.834,0.0,9,0.338,-3.069,1,0.0664,151.701,4,0.746
Rap Beef,69,214032,0.079,0.659,0.667,0.0,10,0.0987,-6.395,1,0.241,158.965,4,0.546
FE!N (feat. Playboi Carti),91,191701,0.0316,0.569,0.882,0.0,3,0.142,-2.777,0,0.06,148.038,4,0.201
Girl In Mine,34,155120,0.167,0.459,0.682,0.0,8,0.11,-4.235,1,0.0464,201.831,4,0.887
teenage dream,84,222358,0.816,0.422,0.229,0.0,0,0.109,-10.208,1,0.0362,135.82,4,0.104
Angels (Don’t Always Have Wings),71,200427,0.063,0.527,0.598,0.000153,1,0.0913,-4.257,1,0.0283,66.041,3,0.23
WHERE SHE GOES,93,231704,0.143,0.652,0.8,0.629,9,0.112,-4.019,0,0.0614,143.978,4,0.234
Lil Boo Thang,83,114234,0.152,0.85,0.699,0.0,0,0.32,-3.292,1,0.0776,114.481,4,0.915
Put It On Da Floor Again (feat. Cardi B),76,185748,0.0282,0.849,0.614,0.0,1,0.0603,-7.323,1,0.317,111.363,5,0.472
